,Location,Total Population,Hispanic or Latino,Population of one race:,Population of two or more races:,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,state,city,Asian/NHPI Alone and in Combination
494,"Logansport, IN Micro Area",37870.0,6675.0,30070.0,1125.0,29279.75,712.417,648.25,193.333,341.0,20.25,IN,Logansport,668.5
495,"London, KY Micro Area",149863.0,2398.0,143146.0,4319.0,141883.017,2535.983,836.267,506.1,1642.117,61.517,KY,London,897.7840000000001
496,"Longview, TX Metro Area",286184.0,47444.0,227626.0,11114.0,178599.283,51439.95,2911.5,1850.2,3754.783,184.283,TX,Longview,3095.783
497,"Longview, WA Metro Area",110730.0,10802.0,93071.0,6857.0,91348.95,1176.783,2226.617,1238.583,3124.95,812.117,WA,Longview,3038.7340000000004
498,"Los Alamos, NM Micro Area",19419.0,3435.0,15095.0,889.0,13873.75,207.917,1362.333,265.25,251.0,23.75,NM,Los Alamos,1386.083
499,"Los Angeles-Long Beach-Anaheim, CA Metro Area",13200998.0,5891597.0,6871106.0,438295.0,3945212.05,866953.233,2281539.6,113669.033,58900.067,43127.017,CA,Los Angeles-Long Beach-Anaheim,2324666.617
500,"Louisville/Jefferson County, KY-IN Metro Area",1285439.0,82964.0,1146373.0,56102.0,944434.783,198797.7,35766.35,9720.55,12471.783,1283.833,IN,Louisville/Jefferson County,37050.183
501,"Lubbock, TX Metro Area",321368.0,114351.0,198056.0,8961.0,164231.817,27103.483,10203.4,1770.65,3427.317,280.333,TX,Lubbock,10483.733
502,"Ludington, MI Micro Area",29052.0,1290.0,26573.0,1189.0,26523.45,265.783,204.617,252.033,494.617,21.5,MI,Ludington,226.117
503,"Lufkin, TX Micro Area",86395.0,19732.0,64159.0,2504.0,51154.833,13283.25,987.167,405.0,792.833,39.917,TX,Lufkin,1027.084
504,"Lumberton, NC Micro Area",116530.0,11757.0,100284.0,4489.0,30662.2,27229.367,1020.117,543.583,45211.033,106.7,NC,Lumberton,1126.817
505,"Lynchburg, VA Metro Area",261593.0,8932.0,241808.0,10853.0,198724.783,44496.117,4166.817,2198.733,2896.533,178.017,VA,Lynchburg,4344.834
506,"Macomb, IL Micro Area",27238.0,962.0,25246.0,1030.0,23551.0,1655.833,613.333,157.333,277.333,21.167,IL,Macomb,634.5
507,"Macon-Bibb County, GA Metro Area",233802.0,8466.0,218542.0,6794.0,112994.717,105133.55,4110.05,1295.667,1687.467,114.55,GA,Macon-Bibb County,4224.6
508,"Madera, CA Metro Area",156255.0,93178.0,58694.0,4383.0,50398.0,4461.5,4049.5,1178.833,2732.083,257.083,CA,Madera,4306.583
509,"Madison, IN Micro Area",33147.0,1111.0,31018.0,1018.0,30512.5,665.833,329.167,204.333,301.75,22.417,IN,Madison,351.58399999999995
510,"Madison, WI Metro Area",680796.0,46048.0,607371.0,27377.0,548825.15,35343.733,39913.7,5406.733,4749.483,509.2,WI,Madison,40422.899999999994
511,"Madisonville, KY Micro Area",45423.0,1126.0,42404.0,1893.0,39968.45,3316.617,290.867,215.333,456.033,49.7,KY,Madisonville,340.567
512,"Magnolia, AR Micro Area",22801.0,773.0,21375.0,653.0,13529.95,7962.95,188.033,117.25,225.617,4.2,AR,Magnolia,192.23299999999998
513,"Malone, NY Micro Area",47555.0,1387.0,44629.0,1539.0,39295.1,1778.267,258.933,272.833,4551.35,11.517,NY,Malone,270.45
514,"Malvern, AR Micro Area",33040.0,1265.0,30036.0,1739.0,27048.583,3712.167,162.417,205.25,619.083,27.5,AR,Malvern,189.917
515,"Manchester-Nashua, NH Metro Area",422937.0,33498.0,372234.0,17205.0,350802.483,11845.317,18197.917,5045.483,3291.4,256.4,NH,Manchester-Nashua,18454.317000000003
516,"Manhattan, KS Metro Area",134046.0,14675.0,111619.0,7752.0,97310.0,12494.917,5641.917,1159.5,1875.0,889.667,KS,Manhattan,6531.584000000001
517,"Manitowoc, WI Micro Area",81359.0,4050.0,74823.0,2486.0,72143.833,1277.5,2456.5,519.667,871.167,40.333,WI,Manitowoc,2496.833
518,"Mankato, MN Metro Area",103566.0,5021.0,95147.0,3398.0,88126.15,6086.15,2752.483,687.5,817.983,74.733,MN,Mankato,2827.2160000000003
519,"Mansfield, OH Metro Area",124936.0,2615.0,116961.0,5360.0,106758.983,12320.4,986.567,933.233,1231.233,90.583,OH,Mansfield,1077.15
520,"Marietta, OH Micro Area",59771.0,717.0,56852.0,2202.0,56701.417,922.083,403.167,362.25,638.333,26.75,OH,Marietta,429.917
521,"Marinette, WI-MI Micro Area",65374.0,1565.0,61715.0,2094.0,61090.8,429.8,393.883,419.333,1451.217,23.967,WI,Marinette,417.84999999999997
522,"Marion, IN Micro Area",66674.0,3412.0,60009.0,3253.0,56051.083,5324.583,618.917,477.583,755.75,34.083,IN,Marion,653.0
523,"Marion, NC Micro Area",44578.0,2947.0,40148.0,1483.0,38511.433,1894.1,436.1,245.167,538.6,5.6,NC,Marion,441.70000000000005
524,"Marion, OH Micro Area",65359.0,1956.0,60845.0,2558.0,57335.083,4551.583,437.833,394.45,648.583,35.467,OH,Marion,473.3
525,"Marquette, MI Micro Area",66017.0,1344.0,61434.0,3239.0,60632.333,993.75,550.5,499.0,1969.083,28.333,MI,Marquette,578.833
526,"Marshall, MN Micro Area",25269.0,1744.0,22832.0,693.0,20865.917,1014.583,1314.333,120.667,200.75,8.75,MN,Marshall,1323.083
527,"Marshall, MO Micro Area",23333.0,2830.0,19495.0,1008.0,17950.0,1360.833,208.0,303.0,268.833,412.333,MO,Marshall,620.3330000000001
528,"Marshalltown, IA Micro Area",40105.0,9140.0,29982.0,983.0,27917.167,916.167,1596.0,164.333,334.167,37.167,IA,Marshalltown,1633.167
529,"Martin, TN Micro Area",32902.0,905.0,30732.0,1265.0,28407.167,2808.667,248.667,181.917,330.0,20.583,TN,Martin,269.25
530,"Martinsville, VA Micro Area",64433.0,4326.0,57844.0,2263.0,41048.833,17725.417,481.333,365.75,457.083,28.583,VA,Martinsville,509.91600000000005
531,"Maryville, MO Micro Area",21241.0,427.0,20122.0,692.0,19626.917,419.917,428.0,117.917,211.75,9.5,MO,Maryville,437.5
532,"Mason City, IA Micro Area",50570.0,2454.0,46571.0,1545.0,45509.45,1167.283,666.867,294.417,317.117,160.867,IA,Mason City,827.7339999999999
533,"Mayagüez, PR Metro Area",97605.0,96446.0,1093.0,66.0,832.083,140.25,108.5,68.583,9.0,0.583,0,Mayagüez,109.083
534,"Mayfield, KY Micro Area",36649.0,2773.0,32426.0,1450.0,31223.833,1819.333,227.0,205.0,389.5,11.333,KY,Mayfield,238.333
535,"Maysville, KY Micro Area",17120.0,356.0,15973.0,791.0,15149.5,1220.5,117.5,98.167,174.333,4.0,KY,Maysville,121.5
536,"McAlester, OK Micro Area",43773.0,2266.0,36380.0,5127.0,30831.767,1545.6,359.183,200.5,8522.933,47.017,OK,McAlester,406.2
537,"McAllen-Edinburg-Mission, TX Metro Area",870781.0,800001.0,67934.0,2846.0,54622.667,3619.917,8880.5,2412.583,1123.333,121.0,TX,McAllen-Edinburg-Mission,9001.5
538,"McComb, MS Micro Area",40324.0,627.0,38709.0,988.0,17192.083,21701.0,284.583,191.0,312.583,15.75,MS,McComb,300.333
539,"McMinnville, TN Micro Area",40953.0,3943.0,35560.0,1450.0,34679.667,1307.0,304.5,246.667,448.583,23.583,TN,McMinnville,328.08299999999997
540,"McPherson, KS Micro Area",30223.0,1592.0,27448.0,1183.0,27089.717,628.883,271.3,256.933,364.883,19.283,KS,McPherson,290.583
541,"Meadville, PA Micro Area",83938.0,1241.0,79572.0,3125.0,78854.167,1880.667,464.75,734.917,720.333,42.167,PA,Meadville,506.91700000000003
542,"Medford, OR Metro Area",223259.0,30399.0,179178.0,13682.0,176776.217,2424.6,4511.717,3210.867,4783.633,1152.967,OR,Medford,5664.683999999999
543,"Memphis, TN-MS-AR Metro Area",1337779.0,94948.0,1201907.0,40924.0,570299.383,618223.55,35569.383,8032.017,9788.633,918.033,AR,Memphis,36487.416000000005
544,"Menomonie, WI Micro Area",45440.0,1035.0,43009.0,1396.0,41578.5,534.0,1546.167,288.833,425.667,31.833,WI,Menomonie,1578.0
545,"Merced, CA Metro Area",281202.0,173857.0,99767.0,7578.0,72027.183,9169.6,20947.85,1891.033,2421.6,887.733,CA,Merced,21835.583
546,"Meridian, MS Micro Area",97587.0,1988.0,93316.0,2283.0,50256.283,43141.533,704.283,407.5,1031.033,58.367,MS,Meridian,762.65
547,"Mexico, MO Micro Area",24962.0,731.0,23014.0,1217.0,22035.117,1518.617,157.783,185.083,319.783,14.617,MO,Mexico,172.39999999999998
548,"Miami, OK Micro Area",30285.0,1708.0,25135.0,3442.0,20526.333,416.667,206.833,144.667,7035.667,246.833,OK,Miami,453.666
549,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",6138333.0,2815574.0,3151111.0,171648.0,1855189.9,1185104.067,175502.967,87164.817,16168.167,3629.083,FL,Miami-Fort Lauderdale-Pompano Beach,179132.05000000002
550,"Michigan City-La Porte, IN Metro Area",112417.0,7985.0,99309.0,5123.0,88390.833,12848.833,936.75,1053.25,1145.333,57.0,IN,Michigan City-La Porte,993.75
551,"Middlesborough, KY Micro Area",24097.0,244.0,23079.0,774.0,22686.917,670.75,132.833,120.833,234.417,7.25,KY,Middlesborough,140.083
552,"Midland, MI Metro Area",83494.0,2659.0,77173.0,3662.0,75606.083,1289.667,1957.833,830.333,1050.25,100.833,MI,Midland,2058.666
553,"Midland, TX Metro Area",175220.0,75586.0,95214.0,4420.0,81361.817,11082.983,4204.65,1116.833,1677.733,189.983,TX,Midland,4394.633
554,"Milledgeville, GA Micro Area",52534.0,1202.0,50142.0,1190.0,25380.0,24643.667,699.833,271.667,296.833,40.0,GA,Milledgeville,739.833
555,"Milwaukee-Waukesha, WI Metro Area",1574731.0,182777.0,1337421.0,54533.0,1034347.55,261062.967,71697.467,11366.033,12509.967,970.017,WI,Milwaukee-Waukesha,72667.48400000001
556,"Minden, LA Micro Area",36967.0,688.0,35058.0,1221.0,23124.833,12363.333,173.667,170.333,427.167,19.667,LA,Minden,193.334
557,"Mineral Wells, TX Micro Area",28409.0,5614.0,21771.0,1024.0,21270.583,647.5,261.25,155.25,434.083,26.333,TX,Mineral Wells,287.58299999999997
558,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3690261.0,242621.0,3282601.0,165039.0,2723446.35,361188.517,285276.767,33246.733,41559.817,2921.817,WI,Minneapolis-St. Paul-Bloomington,288198.584
559,"Minot, ND Micro Area",77546.0,4725.0,68809.0,4012.0,64675.367,3415.617,1497.45,634.833,2384.783,212.95,ND,Minot,1710.4
560,"Missoula, MT Metro Area",117922.0,6004.0,105722.0,6196.0,102938.283,1093.567,1984.067,1220.45,4457.483,224.15,MT,Missoula,2208.217
561,"Mitchell, SD Micro Area",23417.0,946.0,21842.0,629.0,21240.417,192.333,158.333,119.25,754.083,6.583,SD,Mitchell,164.916
562,"Moberly, MO Micro Area",24716.0,572.0,22903.0,1241.0,21868.783,1565.167,143.7,180.617,366.2,19.533,MO,Moberly,163.233
563,"Mobile, AL Metro Area",430197.0,13563.0,400640.0,15994.0,244010.617,151561.867,9458.45,2585.2,8649.7,368.167,AL,Mobile,9826.617
564,"Modesto, CA Metro Area",552878.0,265978.0,264447.0,22453.0,217687.483,16384.733,36748.233,4766.783,6485.75,4827.017,CA,Modesto,41575.25
565,"Monroe, LA Metro Area",207104.0,7174.0,193156.0,6774.0,116934.65,77025.067,2729.817,1089.0,2071.15,80.317,LA,Monroe,2810.134
566,"Monroe, MI Metro Area",154809.0,6231.0,141285.0,7293.0,138886.283,4883.117,1256.2,1366.7,2128.833,56.867,MI,Monroe,1313.067
567,"Montgomery, AL Metro Area",386047.0,15734.0,358403.0,11910.0,185420.467,168873.3,10504.633,2083.467,3140.717,290.417,AL,Montgomery,10795.05
568,"Montrose, CO Micro Area",47553.0,9319.0,36484.0,1750.0,36277.917,259.75,466.25,460.25,712.75,57.083,CO,Montrose,523.333
569,"Morehead City, NC Micro Area",67686.0,3119.0,61897.0,2670.0,58782.583,3540.25,824.75,480.917,835.833,102.667,NC,Morehead City,927.417
570,"Morgan City, LA Micro Area",49406.0,4524.0,43034.0,1848.0,27159.083,15355.767,741.6,305.267,1289.933,30.35,LA,Morgan City,771.95
571,"Morgantown, WV Metro Area",140038.0,4003.0,129861.0,6174.0,122263.067,6976.683,4315.767,1020.2,1343.017,116.267,WV,Morgantown,4432.034
572,"Morristown, TN Metro Area",142709.0,12648.0,124916.0,5145.0,122399.233,3698.567,1200.483,724.917,1716.567,321.233,TN,Morristown,1521.716
573,"Moscow, ID Micro Area",39517.0,2073.0,35300.0,2144.0,34515.833,447.083,1227.167,496.5,667.75,89.667,ID,Moscow,1316.8339999999998
574,"Moses Lake, WA Micro Area",99123.0,42401.0,53377.0,3345.0,51852.85,901.1,1468.017,763.583,1563.1,173.35,WA,Moses Lake,1641.367
575,"Moultrie, GA Micro Area",45898.0,8709.0,36175.0,1014.0,26050.833,10243.5,433.75,179.583,258.833,22.5,GA,Moultrie,456.25
576,"Mountain Home, AR Micro Area",41627.0,1058.0,38692.0,1877.0,38968.5,168.167,298.0,289.333,817.667,27.333,AR,Mountain Home,325.33299999999997
577,"Mountain Home, ID Micro Area",28666.0,5097.0,21930.0,1639.0,20750.0,837.333,957.5,353.833,517.0,153.333,ID,Mountain Home,1110.833
578,"Mount Airy, NC Micro Area",71359.0,8496.0,60843.0,2020.0,58731.833,2703.833,445.5,310.167,653.167,18.5,NC,Mount Airy,464.0
579,"Mount Gay-Shamrock, WV Micro Area",32567.0,224.0,31504.0,839.0,31198.333,680.667,72.5,134.0,252.833,4.667,WV,Mount Gay-Shamrock,77.167
580,"Mount Pleasant, MI Micro Area",64394.0,3006.0,58386.0,3002.0,54388.817,2464.817,1294.567,436.917,2769.983,32.9,MI,Mount Pleasant,1327.467
581,"Mount Pleasant, TX Micro Area",43711.0,16902.0,25519.0,1290.0,20752.667,4969.0,397.667,194.667,473.0,22.0,TX,Mount Pleasant,419.667
582,"Mount Sterling, KY Micro Area",46977.0,1164.0,44422.0,1391.0,44023.083,956.083,217.917,204.333,399.0,12.583,KY,Mount Sterling,230.5
583,"Mount Vernon, IL Micro Area",37113.0,899.0,34469.0,1745.0,32015.983,3108.817,411.65,234.5,419.483,23.567,IL,Mount Vernon,435.217
584,"Mount Vernon, OH Micro Area",62721.0,1196.0,59360.0,2165.0,59095.267,813.433,468.683,451.85,657.683,38.083,OH,Mount Vernon,506.76599999999996
585,"Mount Vernon-Anacortes, WA Metro Area",129523.0,23792.0,99074.0,6657.0,95483.733,1192.15,3557.233,1558.167,3380.567,559.15,WA,Mount Vernon-Anacortes,4116.383
586,"Muncie, IN Metro Area",111903.0,3533.0,103555.0,4815.0,95602.733,9186.233,1633.067,771.9,1078.833,97.233,IN,Muncie,1730.3
587,"Murray, KY Micro Area",37103.0,1353.0,34135.0,1615.0,33008.333,1539.667,520.083,235.917,425.333,20.667,KY,Murray,540.75
588,"Muscatine, IA Micro Area",43235.0,7769.0,34285.0,1181.0,33205.75,1237.0,471.083,256.0,294.417,1.75,IA,Muscatine,472.833
589,"Muskegon, MI Metro Area",175824.0,10283.0,156510.0,9031.0,134410.833,25116.017,1476.167,1596.067,2843.417,98.5,MI,Muskegon,1574.667
590,"Muskogee, OK Micro Area",66339.0,4499.0,53865.0,7975.0,38307.917,7457.75,623.25,302.0,15082.417,66.667,OK,Muskogee,689.917
591,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",487722.0,31724.0,436755.0,19243.0,385365.083,53940.25,6665.25,3745.5,5744.667,537.25,SC,Myrtle Beach-Conway-North Myrtle Beach,7202.5
592,"Nacogdoches, TX Micro Area",64653.0,13597.0,48876.0,2180.0,38167.7,10949.033,889.2,360.833,662.867,26.367,TX,Nacogdoches,915.567
593,"Napa, CA Metro Area",138019.0,48829.0,83462.0,5728.0,71499.45,2753.7,11600.45,1504.783,1301.65,529.967,CA,Napa,12130.417000000001
594,"Naples-Marco Island, FL Metro Area",375752.0,102249.0,265542.0,7961.0,239041.383,23562.3,6229.217,2967.633,1532.633,169.833,FL,Naples-Marco Island,6399.049999999999
595,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1989519.0,193873.0,1715416.0,80230.0,1396237.467,295187.883,68792.35,14577.2,19156.233,1694.867,TN,Nashville-Davidson--Murfreesboro--Franklin,70487.217
596,"Natchez, MS-LA Micro Area",48225.0,1471.0,45702.0,1052.0,21524.4,24462.9,298.483,131.917,319.233,17.067,MS,Natchez,315.55
597,"Natchitoches, LA Micro Area",37515.0,1490.0,34525.0,1500.0,19506.433,15188.367,219.867,502.767,575.367,32.2,LA,Natchitoches,252.067
598,"New Bern, NC Metro Area",122168.0,8085.0,108592.0,5491.0,82222.6,25615.617,3635.433,945.4,1454.017,209.933,NC,New Bern,3845.366
599,"Newberry, SC Micro Area",37719.0,3305.0,33313.0,1101.0,23139.6,10624.6,170.767,144.75,325.933,8.35,SC,Newberry,179.117
600,"New Castle, IN Micro Area",48914.0,977.0,46546.0,1391.0,45767.667,1279.917,267.083,204.25,399.917,18.167,IN,New Castle,285.25
601,"New Castle, PA Micro Area",86070.0,1655.0,80008.0,4407.0,77924.333,4334.25,464.333,989.833,687.5,14.75,PA,New Castle,479.083
602,"New Haven-Milford, CT Metro Area",864835.0,170081.0,664569.0,30185.0,522479.75,116581.083,39911.8,10496.45,4801.583,483.333,CT,New Haven-Milford,40395.133
603,"New Orleans-Metairie, LA Metro Area",1271845.0,146939.0,1081008.0,43898.0,633254.017,427362.75,40876.65,11973.683,10630.85,808.05,LA,New Orleans-Metairie,41684.700000000004
604,"New Philadelphia-Dover, OH Micro Area",93263.0,3962.0,86297.0,3004.0,86448.083,1013.75,407.667,529.083,862.25,40.167,OH,New Philadelphia-Dover,447.83399999999995
605,"Newport, OR Micro Area",50395.0,4851.0,42223.0,3321.0,41072.283,343.783,890.367,657.5,2402.617,177.45,OR,Newport,1067.817
606,"Newport, TN Micro Area",35999.0,954.0,33646.0,1399.0,33414.333,764.333,190.667,134.333,526.5,14.833,TN,Newport,205.5
607,"New Ulm, MN Micro Area",25912.0,1171.0,24277.0,464.0,24187.583,175.083,157.417,87.667,125.583,7.667,MN,New Ulm,165.084
608,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",20140470.0,5067627.0,14451777.0,621066.0,8931533.117,3123721.283,2598640.983,329605.033,75425.45,13917.133,NY,New York-Newark-Jersey City,2612558.116
609,"Niles, MI Metro Area",154316.0,9210.0,137478.0,7628.0,115185.033,22408.7,3613.033,1617.45,2131.117,150.667,MI,Niles,3763.7
610,"Nogales, AZ Micro Area",47669.0,39632.0,7745.0,292.0,7244.417,132.917,295.25,201.167,138.5,24.75,AZ,Nogales,320.0
611,"Norfolk, NE Micro Area",48744.0,6008.0,41488.0,1248.0,40568.583,609.667,575.5,265.75,677.917,38.583,NE,Norfolk,614.083
612,"North Platte, NE Micro Area",35791.0,3037.0,31668.0,1086.0,31221.667,501.167,378.0,246.333,394.167,12.667,NE,North Platte,390.667
613,"North Port-Sarasota-Bradenton, FL Metro Area",833716.0,114215.0,692326.0,27175.0,635471.283,51031.95,19140.033,7535.4,5638.783,683.55,FL,North Port-Sarasota-Bradenton,19823.583
614,"North Vernon, IN Micro Area",27613.0,859.0,25974.0,780.0,26048.667,243.833,76.667,116.0,264.333,4.5,IN,North Vernon,81.167
615,"North Wilkesboro, NC Micro Area",65969.0,4654.0,59442.0,1873.0,57200.383,2913.05,388.717,233.5,563.717,15.633,NC,North Wilkesboro,404.34999999999997
616,"Norwalk, OH Micro Area",58565.0,4084.0,52277.0,2204.0,52311.0,850.667,292.833,343.333,656.833,26.333,OH,Norwalk,319.16600000000005
617,"Norwich-New London, CT Metro Area",268555.0,30920.0,223556.0,14079.0,200954.15,16954.65,12007.733,3055.017,4192.15,471.3,CT,Norwich-New London,12479.033
618,"Oak Harbor, WA Micro Area",86857.0,7118.0,73556.0,6183.0,68701.1,2843.1,4906.683,1156.333,1492.933,638.85,WA,Oak Harbor,5545.533
619,"Ocala, FL Metro Area",375908.0,55910.0,305486.0,14512.0,260365.967,45115.883,6893.967,3510.15,3788.3,323.733,FL,Ocala,7217.7
620,"Ocean City, NJ Metro Area",95263.0,7465.0,84678.0,3120.0,81514.25,3777.333,1089.083,743.5,616.083,57.75,NJ,Ocean City,1146.833
621,"Odessa, TX Metro Area",165171.0,100051.0,62097.0,3023.0,52443.5,7857.333,2461.5,779.917,1226.583,351.167,TX,Odessa,2812.667
622,"Ogden-Clearfield, UT Metro Area",694863.0,93912.0,575556.0,25395.0,559056.65,9827.967,15173.733,4595.867,6582.317,5714.467,UT,Ogden-Clearfield,20888.2
623,"Ogdensburg-Massena, NY Micro Area",108505.0,2832.0,101893.0,3780.0,98363.183,3093.933,1289.767,727.767,2132.25,66.1,NY,Ogdensburg-Massena,1355.867
624,"Oil City, PA Micro Area",50454.0,577.0,47897.0,1980.0,48076.417,640.583,245.083,410.917,485.417,18.583,PA,Oil City,263.666
625,"Okeechobee, FL Micro Area",39644.0,9857.0,28744.0,1043.0,25151.9,3459.983,368.233,293.4,484.15,29.333,FL,Okeechobee,397.56600000000003
626,"Oklahoma City, OK Metro Area",1425695.0,212546.0,1092684.0,120465.0,900061.683,158749.183,52692.367,11046.05,88081.6,2518.117,OK,Oklahoma City,55210.484
627,"Olean, NY Micro Area",77042.0,1615.0,71992.0,3435.0,69208.583,1385.033,668.95,666.95,3466.783,30.7,NY,Olean,699.6500000000001
628,"Olympia-Lacey-Tumwater, WA Metro Area",294793.0,29024.0,242400.0,23369.0,218468.083,11545.917,20705.467,3609.15,7177.167,4263.217,WA,Olympia-Lacey-Tumwater,24968.684
629,"Omaha-Council Bluffs, NE-IA Metro Area",967604.0,111481.0,813872.0,42251.0,718416.783,80545.95,37910.233,7826.033,10157.717,1266.283,IA,Omaha-Council Bluffs,39176.516
630,"Oneonta, NY Micro Area",58524.0,2392.0,53788.0,2344.0,52605.317,1417.317,991.733,570.0,520.9,26.733,NY,Oneonta,1018.4659999999999
631,"Ontario, OR-ID Micro Area",56957.0,14588.0,40083.0,2286.0,39320.667,595.167,797.0,573.167,985.333,97.667,OR,Ontario,894.667
632,"Opelousas, LA Micro Area",82540.0,2178.0,78264.0,2098.0,44032.65,34889.15,439.067,516.667,460.15,24.317,LA,Opelousas,463.384
633,"Orangeburg, SC Micro Area",84223.0,1967.0,80185.0,2071.0,28650.917,51352.75,989.167,309.5,904.25,49.417,SC,Orangeburg,1038.584
634,"Orlando-Kissimmee-Sanford, FL Metro Area",2673376.0,856028.0,1703292.0,114056.0,1210276.017,405298.4,134523.05,47247.767,16531.733,3471.033,FL,Orlando-Kissimmee-Sanford,137994.08299999998
635,"Oshkosh-Neenah, WI Metro Area",171730.0,8328.0,157422.0,5980.0,148461.7,5763.033,6036.533,989.333,2032.45,118.95,WI,Oshkosh-Neenah,6155.483
636,"Oskaloosa, IA Micro Area",22190.0,480.0,20983.0,727.0,20609.5,469.667,307.833,118.5,179.333,25.167,IA,Oskaloosa,333.0
637,"Othello, WA Micro Area",20613.0,13120.0,7135.0,358.0,6992.65,41.0,168.483,132.9,140.65,17.317,WA,Othello,185.8
638,"Ottawa, IL Micro Area",148539.0,14899.0,128597.0,5043.0,126475.417,3390.083,1428.833,1071.167,1223.083,51.417,IL,Ottawa,1480.25
639,"Ottawa, KS Micro Area",25996.0,1147.0,23499.0,1350.0,23470.333,457.667,146.833,189.667,571.0,13.5,KS,Ottawa,160.333
640,"Ottumwa, IA Micro Area",35437.0,4332.0,30032.0,1073.0,27787.417,1586.083,691.75,209.5,286.083,544.167,IA,Ottumwa,1235.917
641,"Owatonna, MN Micro Area",37406.0,3140.0,33206.0,1060.0,31884.417,1507.5,423.583,214.0,205.75,30.75,MN,Owatonna,454.333
642,"Owensboro, KY Metro Area",121559.0,4471.0,112579.0,4509.0,106753.333,6059.75,2625.583,631.917,924.5,92.917,KY,Owensboro,2718.5
643,"Oxford, MS Micro Area",55813.0,2142.0,51973.0,1698.0,39553.317,11514.817,1877.483,260.0,426.983,38.4,MS,Oxford,1915.883
644,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",843843.0,365285.0,445692.0,32866.0,375743.967,16474.383,70462.883,7624.233,5735.883,2516.65,CA,Oxnard-Thousand Oaks-Ventura,72979.533
645,"Ozark, AL Micro Area",49326.0,3254.0,43773.0,2299.0,33642.283,10502.783,813.283,354.033,676.283,83.333,AL,Ozark,896.616
646,"Paducah, KY-IL Micro Area",98660.0,2747.0,91139.0,4774.0,83445.083,9515.917,936.567,694.017,1256.5,64.917,IL,Paducah,1001.484
647,"Pahrump, NV Micro Area",51591.0,7927.0,40965.0,2699.0,38554.067,1738.65,1287.9,588.167,1156.983,338.233,NV,Pahrump,1626.133
648,"Palatka, FL Micro Area",73321.0,7816.0,62849.0,2656.0,51768.6,11667.6,576.667,508.767,913.6,69.767,FL,Palatka,646.434
649,"Palestine, TX Micro Area",57922.0,11111.0,45228.0,1583.0,33849.317,11701.567,436.317,229.567,568.483,25.75,TX,Palestine,462.067
650,"Palm Bay-Melbourne-Titusville, FL Metro Area",606612.0,67907.0,508461.0,30244.0,444663.75,61159.25,18829.917,6861.983,6284.267,905.833,FL,Palm Bay-Melbourne-Titusville,19735.75
651,"Pampa, TX Micro Area",22054.0,6397.0,14887.0,770.0,14113.15,906.317,151.567,106.567,371.567,7.833,TX,Pampa,159.4
652,"Panama City, FL Metro Area",175216.0,13846.0,151674.0,9696.0,132823.817,18879.567,5121.567,1460.417,2722.483,362.15,FL,Panama City,5483.717
653,"Paragould, AR Micro Area",45736.0,1596.0,42145.0,1995.0,41489.083,1092.75,236.75,343.167,681.083,297.167,AR,Paragould,533.9169999999999
654,"Paris, TN Micro Area",32199.0,877.0,29967.0,1355.0,27897.833,2521.5,251.667,243.5,397.5,10.0,TN,Paris,261.66700000000003
655,"Paris, TX Micro Area",50088.0,4412.0,43101.0,2575.0,36562.117,6750.117,530.95,271.667,1524.783,36.367,TX,Paris,567.317
656,"Parkersburg-Vienna, WV Metro Area",89490.0,1196.0,84693.0,3601.0,84451.833,1512.75,715.333,552.917,1010.667,50.5,WV,Parkersburg-Vienna,765.833
657,"Parsons, KS Micro Area",20184.0,939.0,17482.0,1763.0,16927.15,1076.4,127.983,129.233,968.417,15.817,KS,Parsons,143.8
658,"Payson, AZ Micro Area",53272.0,9283.0,42326.0,1663.0,33535.483,317.15,527.417,434.567,9084.567,89.817,AZ,Payson,617.234
659,"Pearsall, TX Micro Area",18385.0,14171.0,4096.0,118.0,3110.667,715.333,200.167,112.0,66.833,9.0,TX,Pearsall,209.167
660,"Pecos, TX Micro Area",14812.0,12511.0,2213.0,88.0,1789.417,230.417,172.75,54.0,49.25,5.167,TX,Pecos,177.917
661,"Pella, IA Micro Area",33414.0,700.0,31771.0,943.0,31376.333,365.0,478.833,218.0,246.833,29.0,IA,Pella,507.833
662,"Pensacola-Ferry Pass-Brent, FL Metro Area",509905.0,32683.0,447502.0,29720.0,362058.7,82900.367,17233.533,4944.467,8813.45,1271.483,FL,Pensacola-Ferry Pass-Brent,18505.016
663,"Peoria, IL Metro Area",402391.0,15185.0,370968.0,16238.0,330583.7,39728.283,10177.7,2732.483,3760.2,223.633,IL,Peoria,10401.333
664,"Peru, IN Micro Area",35962.0,1186.0,33432.0,1344.0,31768.483,2002.733,179.4,190.25,618.733,16.4,IN,Peru,195.8
